Tr;Time;RI_mz;N;mean;sd;se
249;M;4;X.Alanine..2TMS.;5;0.103158351849853;0.187708260936345;0.0839456862783871
250;M;4;X.Leucine..2TMS.;5;0.282434155419769;0.0732701731319351;0.0327674175692371
251;M;4;X.Threonine..2TMS.;5;0.484411865068504;0.103440899622661;0.0462601766420004
252;M;4;X.Proline..2TMS.;5;0.126812422028333;0.0614610807246678;0.0274862308941919
253;M;4;X.Succinic.acid..2TMS.;5;0.252009469624925;0.0755787713764507;0.0337998540907318
254;M;4;X.Glycine..3TMS.;5;0.55322168004757;0.160407657316551;0.0717364851742601
255;M;4;X.Fumaric.acid..2TMS.;5;0.0464927561352006;0.0106703770099349;0.00477193766795306
256;M;4;X.Serine..3TMS.;5;0.131776988459267;0.13272605327072;0.0593568954997176
257;M;4;X.Methionine..1TMS.;5;0.522665203542982;0.229859068954453;0.102796100685394
258;M;4;X.Aspartic.acid..2TMS.;5;0.13246540620017;0.0279056611448318;0.0124797910553837
259;M;4;X.Glutamine...H2O...2TMS.;5;0.0735953521733037;0.0325213159530115;0.0145439746377364
260;M;4;X.Malic.acid..3TMS.;5;0.00400302596073934;0.00343858045756989;0.00153777992984572
261;M;4;X.Glutamic.acid..2TMS.;5;0.403977541597614;0.118977503488897;0.0532083571188786
262;M;4;X.2.Oxoglutaric.acid..1MEOX...2TMS..BP;5;0.110039000130652;0.0136722807568786;0.00611442983596855
263;M;4;X.Threonic.acid..4TMS.;5;0.175718176918793;0.139833233477945;0.0625353231140569
264;M;4;X.Phenylalanine..2TMS.;5;0.313190827306002;0.0904889452872909;0.0404678865749283
265;M;4;X.Asparagine..3TMS.;5;0.252290208634197;0.0655911516128663;0.0293332547457728
266;M;4;X.Putrescine..4TMS.;5;0.175514074971139;0.0319975940957189;0.0143097591028947
267;M;4;X.Ornithine..4TMS.;5;0.448647160264555;0.137272242608637;0.0613900131793511
268;M;4;X.Citric.acid..4TMS.;5;0.0838968028859853;0.170224576204364;0.0761267447668104
269;M;4;X.Fructose..1MEOX...5TMS..MP;5;0.0438504027169243;0.0662841976603032;0.0296431943604941
270;M;4;X.Galactose..1MEOX...5TMS..MP;5;0.0761117110538885;0.064723839382251;0.0289453809246982
271;M;4;X.Lysine..4TMS.;5;0.379147782390923;0.068457889720085;0.0306152990020588
272;M;4;X.Tyrosine..3TMS.;5;0.147595085735511;0.0393847713301479;0.0176134051944991
273;M;4;X.Glucose..1MEOX...5TMS..BP;5;0.150055608115264;0.110851864574372;0.0495744609241795
274;M;4;X.Gluconic.acid..6TMS.;5;0.00422624979632048;0.00335321533740141;0.00149960348752489
275;M;4;X.myo.Inositol..6TMS.;5;0.224087382788763;0.295230663933637;0.132031166719602
276;M;4;X.Sucrose..8TMS.;5;0.0179356963929179;0.00965895017858171;0.00431961383811849
277;M;4;X.Trehalose..8TMS.;5;0.183426885138811;0.115653967001683;0.0517220264166561
